12/05-14:47:25.739337 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92823D,0xF2715197,,0x1F5,64,16,60158,104,106496,,,,
12/05-14:47:25.740002 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xC6,***AP***,0x4E9282A5,0xF2715197,,0x1F5,64,16,60160,184,188416,,,,
12/05-14:47:27.046286 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.154,56836,3120198117,443,00:24:9B:04:34:61,C4:EA:1D:17:4D:D4,0x7A,***AP***,0xFE562C41,0x614152FD,,0x322,64,0,38689,108,110592,,,,
12/05-14:47:27.225006 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928355,0xF27151BB,,0x1F5,64,16,60162,104,106496,,,,
12/05-14:47:27.597226 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.154,56838,3120198117,443,00:24:9B:04:34:61,C4:EA:1D:17:4D:D4,0x7A,***AP***,0xABBCF4D4,0x997D7613,,0x338,64,0,61068,108,110592,,,,
12/05-14:47:28.470119 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9283F9,0xF27151E7,,0x1F5,64,16,60165,104,106496,,,,
12/05-14:47:30.027423 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xB6,***AP***,0x4E928459,0xF271520B,,0x1F5,64,16,60167,168,172032,,,,
12/05-14:47:30.272182 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92852D,0xF2715237,,0x1F5,64,16,60170,104,106496,,,,
12/05-14:47:31.252782 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92858D,0xF2715263,,0x1F5,64,16,60172,104,106496,,,,
12/05-14:47:32.497218 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9285ED,0xF271528F,,0x1F5,64,16,60174,104,106496,,,,
12/05-14:47:33.569186 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x6E,***AP***,0x4E92864D,0xF27152B3,,0x1F5,64,16,60176,96,98304,,,,
12/05-14:47:33.955430 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xB6,***AP***,0x4E9286D9,0xF27152D7,,0x1F5,64,16,60179,168,172032,,,,
12/05-14:47:34.583933 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9287AD,0xF2715303,,0x1F5,64,16,60182,104,106496,,,,
12/05-14:47:35.082132 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92880D,0xF271532F,,0x1F5,64,16,60184,104,106496,,,,
